Time	value_on_device_(l/h)_Ar        	value_in_program_(l/h)_Ar        	Gas_consumption_(l)_Ar        	Temperature_(C)_Ar        	value_on_device_(l/h)_CO2       	value_in_program_(l/h)_CO2       	Gas_consumption_(l)_CO2       	Temperature_(C)_CO2       
18:42:09	0.0	35.612	0.0	28.167	0.0	36.678	0.0	26.716
18:42:25	0.0	44.516	0.0	28.165	0.0	36.678	0.0	26.739
18:42:40	0.0	44.516	0.0	28.142	0.0	36.678	0.0	26.719
18:42:56	0.0	44.516	0.0	28.153	0.0	36.678	0.0	26.71
18:44:53	0.0	26.709	0.0	26.765	0.0	23.887	0.0	28.157
18:45:56	0.0	29.343	0.0	26.799	0.0	22.32	0.0	28.12
18:46:11	0.0	36.678	0.0	26.804	0.0	55.8	0.0	28.084
18:46:27	0.0	36.678	0.0	26.813	0.0	55.8	0.0	28.089
18:46:42	0.0	36.678	0.0	26.847	9.948	55.8	0.028	28.062
18:47:01	0.0	36.678	0.0	26.857	0.0	55.8	0.028	28.052
18:47:20	0.0	36.678	0.0	26.899	0.0	55.8	0.028	28.052
18:47:39	0.0	36.678	0.0	26.942	0.017	55.8	0.028	27.711
18:47:55	0.0	36.678	0.0	26.952	8.857	55.8	0.052	27.805
18:48:10	0.0	36.678	0.0	26.989	0.0	55.8	0.052	27.802
18:48:26	0.0	36.678	0.0	27.032	0.0	55.8	0.052	27.778
18:48:41	0.0	36.678	0.0	27.046	0.0	55.8	0.052	27.759
18:48:57	0.0	36.678	0.0	27.07	0.0	55.8	0.052	27.765
18:49:12	0.0	36.678	0.0	27.058	0.0	55.8	0.052	27.753
18:49:27	0.0	36.678	0.0	27.11	0.0	55.8	0.052	27.721
18:49:43	0.0	36.678	0.0	27.13	0.0	55.8	0.052	27.701
18:49:58	0.0	36.678	0.0	27.152	0.0	55.8	0.052	27.709
18:50:14	0.0	36.678	0.0	27.185	0.0	55.8	0.052	27.698
18:50:29	0.0	36.678	0.0	27.211	0.0	55.8	0.052	27.703
18:50:44	0.0	36.678	0.0	27.259	0.0	55.8	0.052	27.71
18:51:03	0.0	36.678	0.0	24.678	0.0	55.8	0.052	27.701
18:51:18	0.0	21.254	0.0	27.3	0.0	34.609	0.052	27.712
18:51:34	0.0	4.075	0.0	27.339	0.0	2.822	0.052	27.71
18:51:49	0.0	4.075	0.0	27.342	0.0	2.822	0.052	27.714
18:52:04	0.0	4.075	0.0	27.359	0.0	2.822	0.052	27.674
18:52:20	0.0	4.075	0.0	27.368	0.0	2.822	0.052	27.705
18:52:36	0.0	4.075	0.0	27.386	0.0	2.822	0.052	27.723
18:52:52	0.0	4.075	0.0	27.377	0.0	2.822	0.052	27.723
18:53:07	0.0	4.075	0.0	27.419	0.0	2.822	0.052	27.703
18:53:23	0.0	4.075	0.0	27.413	0.0	2.822	0.052	27.73
18:53:38	0.0	4.075	0.0	27.417	0.0	2.822	0.052	27.722
18:53:54	0.0	4.075	0.0	27.472	0.0	2.822	0.052	27.744
18:54:10	0.0	4.075	0.0	27.48	0.0	2.822	0.052	27.754
18:54:26	0.0	4.075	0.0	27.485	0.0	2.822	0.052	27.75
18:54:41	0.0	4.075	0.0	27.553	0.0	2.822	0.052	27.774
18:54:57	0.0	4.075	0.0	27.562	0.0	2.822	0.052	27.793
18:55:13	0.0	4.075	0.0	27.6	0.0	2.822	0.052	27.855
18:55:28	0.0	4.075	0.0	27.659	0.0	2.822	0.052	27.86
18:55:44	0.0	4.075	0.0	27.681	0.0	2.822	0.052	27.877
18:55:59	0.0	4.075	0.0	27.682	0.0	2.822	0.052	27.917
18:56:15	0.0	4.075	0.0	27.682	0.0	2.822	0.052	27.963
18:56:30	0.0	4.075	0.0	27.733	0.0	2.822	0.052	27.963
18:56:46	0.0	4.075	0.0	27.772	0.0	2.822	0.052	28.006
18:57:01	0.0	4.075	0.0	27.785	0.0	2.822	0.052	28.015
18:57:17	0.0	4.075	0.0	27.846	0.0	2.822	0.052	28.06
18:57:32	0.0	4.075	0.0	27.888	0.0	2.822	0.052	28.073
18:57:48	0.0	4.075	0.0	27.903	0.0	2.822	0.052	28.143
18:58:03	0.0	4.075	0.0	27.938	0.0	2.822	0.052	28.186
18:58:19	0.0	4.075	0.0	27.975	0.0	2.822	0.052	28.208
18:58:35	0.0	4.075	0.0	27.989	0.0	2.822	0.052	28.207
18:58:50	0.0	4.075	0.0	28.016	0.0	2.822	0.052	28.282
18:59:05	0.0	4.075	0.0	28.082	0.0	2.822	0.052	28.313
18:59:21	0.0	4.075	0.0	28.095	0.0	2.822	0.052	28.338
18:59:37	0.0	4.075	0.0	28.143	0.0	2.822	0.052	28.371
18:59:53	0.0	4.075	0.0	28.175	0.0	2.822	0.052	28.419
19:00:08	0.0	4.075	0.0	28.233	0.0	2.822	0.052	28.451
19:00:24	0.0	4.075	0.0	28.267	0.0	2.822	0.052	28.507
19:00:39	0.0	4.075	0.0	28.276	0.0	2.822	0.052	28.541
19:00:54	0.0	4.075	0.0	28.323	0.0	2.822	0.052	28.561
19:01:10	0.0	4.075	0.0	28.36	0.0	2.822	0.052	28.596
19:01:26	0.0	4.075	0.0	28.385	0.0	2.822	0.052	28.642
19:01:42	0.0	4.075	0.0	28.438	0.0	2.822	0.052	28.674
19:01:57	0.0	4.075	0.0	28.467	0.0	2.822	0.052	28.741
19:02:13	0.0	4.075	0.0	28.517	0.0	2.822	0.052	28.769
19:02:29	0.0	4.075	0.0	28.538	0.0	2.822	0.052	28.801
19:02:44	0.0	4.075	0.0	28.548	0.0	2.822	0.052	28.849
19:03:00	0.0	4.075	0.0	28.594	0.0	2.822	0.052	28.859
19:03:16	0.0	4.075	0.0	28.633	0.0	2.822	0.052	28.911
19:03:32	0.0	4.075	0.0	28.656	0.0	2.822	0.052	28.922
19:03:47	0.0	4.075	0.0	28.706	0.0	2.822	0.052	28.958
19:04:03	0.0	4.075	0.0	28.763	0.0	2.822	0.052	29.018
19:04:18	0.0	4.075	0.0	28.791	0.0	2.822	0.052	29.054
19:04:34	0.0	4.075	0.0	28.828	0.0	2.822	0.052	29.099
19:04:49	0.0	4.075	0.0	28.863	0.0	2.822	0.052	29.126
19:05:05	0.0	4.075	0.0	28.869	0.0	2.822	0.052	29.16
19:05:20	0.0	4.075	0.0	28.899	0.0	2.822	0.052	29.181
19:05:35	0.0	4.075	0.0	28.946	0.0	2.822	0.052	29.252
19:05:51	0.0	4.075	0.0	29.008	0.0	2.822	0.052	29.279
19:06:07	0.0	4.075	0.0	29.02	0.0	2.822	0.052	29.316
19:06:22	0.0	4.075	0.0	29.073	0.0	2.822	0.052	29.357
19:06:38	0.0	4.075	0.0	29.091	0.0	2.822	0.052	29.373
19:06:54	0.0	4.075	0.0	29.14	0.0	2.822	0.052	29.417
19:07:10	0.0	4.075	0.0	29.129	0.0	2.822	0.052	29.442
19:07:26	0.0	4.075	0.0	29.166	0.0	2.822	0.052	29.476
19:07:41	0.0	4.075	0.0	29.196	0.0	2.822	0.052	29.515
19:07:56	0.0	4.075	0.0	29.217	0.0	2.822	0.052	29.543
19:08:12	0.0	4.075	0.0	29.242	0.0	2.822	0.052	29.584
19:08:27	0.0	4.075	0.0	29.3	0.0	2.822	0.052	29.616
19:08:42	0.0	4.075	0.0	29.352	0.0	2.822	0.052	29.661
19:08:58	0.0	4.075	0.0	29.376	0.0	2.822	0.052	29.691
19:09:14	0.0	4.075	0.0	29.413	0.0	2.822	0.052	29.718
19:09:29	0.0	4.075	0.0	29.439	0.0	2.822	0.052	29.748
19:09:45	0.0	4.075	0.0	29.453	0.0	2.822	0.052	29.799
19:10:00	0.0	4.075	0.0	29.447	0.0	2.822	0.052	29.807
19:10:16	0.0	4.075	0.0	29.514	0.0	2.822	0.052	29.862
19:10:32	0.0	4.075	0.0	29.516	0.0	2.822	0.052	29.893
19:10:47	0.0	4.075	0.0	29.566	0.0	2.822	0.052	29.917
19:11:03	0.0	4.075	0.0	29.602	0.0	2.822	0.052	29.953
19:11:19	0.0	4.075	0.0	29.655	0.0	2.822	0.052	29.984
19:11:34	0.0	4.075	0.0	29.673	0.0	2.822	0.052	30.039
19:11:50	0.0	4.075	0.0	29.705	0.0	2.822	0.052	30.068
19:12:05	0.0	4.075	0.0	29.724	0.0	2.822	0.052	30.095
19:12:20	0.0	4.075	0.0	29.751	0.0	2.822	0.052	30.111
19:12:36	0.0	4.075	0.0	29.767	0.0	2.822	0.052	30.145
19:12:51	0.0	4.075	0.0	29.798	0.0	2.822	0.052	30.16
19:13:07	0.0	4.075	0.0	29.826	0.0	2.822	0.052	30.211
19:13:22	0.0	4.075	0.0	29.884	0.0	2.822	0.052	30.246
19:13:38	0.0	4.075	0.0	29.896	0.0	2.822	0.052	30.278
19:13:53	0.0	4.075	0.0	29.925	0.0	2.822	0.052	30.313
19:14:08	0.0	4.075	0.0	29.965	0.0	2.822	0.052	30.345
19:14:24	0.0	4.075	0.0	29.999	0.0	2.822	0.052	30.368
19:14:40	0.0	4.075	0.0	30.016	0.0	2.822	0.052	30.414
19:14:55	0.0	4.075	0.0	30.016	0.0	2.822	0.052	30.434
19:15:11	0.0	4.075	0.0	30.052	0.0	2.822	0.052	30.464
19:15:27	0.0	4.075	0.0	30.069	0.0	2.822	0.052	30.487
19:15:43	0.0	4.075	0.0	30.11	0.0	2.822	0.052	30.543
19:15:58	0.0	4.075	0.0	30.115	0.0	2.822	0.052	30.569
19:16:14	0.0	4.075	0.0	30.16	0.0	2.822	0.052	30.563
19:16:30	0.0	4.075	0.0	30.214	0.0	2.822	0.052	30.622
19:16:45	0.0	4.075	0.0	30.251	0.0	2.822	0.052	30.632
19:17:00	0.0	4.075	0.0	30.278	0.0	2.822	0.052	30.663
19:17:16	0.0	4.075	0.0	30.298	0.0	2.822	0.052	30.687
19:17:32	0.0	4.075	0.0	30.314	0.0	2.822	0.052	30.734
19:17:47	0.0	4.075	0.0	30.356	0.0	2.822	0.052	30.746
19:18:03	0.0	4.075	0.0	30.351	0.0	2.822	0.052	30.805
19:18:19	0.0	4.075	0.0	30.346	0.0	2.822	0.052	30.814
19:18:34	0.0	4.075	0.0	30.391	0.0	2.822	0.052	30.875
19:18:49	0.0	4.075	0.0	30.435	0.0	2.822	0.052	30.87
19:19:05	0.0	4.075	0.0	30.458	0.0	2.822	0.052	30.915
19:19:20	0.0	4.075	0.0	30.468	0.0	2.822	0.052	30.926
19:19:35	0.0	4.075	0.0	30.539	0.0	2.822	0.052	30.965
19:19:51	0.0	4.075	0.0	30.555	0.0	2.822	0.052	30.986
19:20:06	0.0	4.075	0.0	30.562	0.0	2.822	0.052	31.032
19:20:22	0.0	4.075	0.0	30.592	0.0	2.822	0.052	31.051
19:20:38	0.0	4.075	0.0	30.601	0.0	2.822	0.052	31.07
19:20:54	0.0	4.075	0.0	30.606	0.0	2.822	0.052	31.096
19:21:09	0.0	4.075	0.0	30.627	0.0	2.822	0.052	31.156
19:21:25	0.0	4.075	0.0	30.652	0.0	2.822	0.052	31.142
19:21:40	0.0	4.075	0.0	30.688	0.0	2.822	0.052	31.187
19:21:56	0.0	4.075	0.0	30.712	0.0	2.822	0.052	31.205
19:22:12	0.0	4.075	0.0	30.727	0.0	2.822	0.052	31.209
19:22:28	0.0	4.075	0.0	30.76	0.0	2.822	0.052	31.23
19:22:43	0.0	4.075	0.0	30.788	0.0	2.822	0.052	31.28
19:22:59	0.0	4.075	0.0	30.817	0.0	2.822	0.052	31.281
19:23:15	0.0	4.075	0.0	30.85	0.0	2.822	0.052	31.288
19:23:30	0.0	4.075	0.0	30.894	0.0	2.822	0.052	31.331
19:23:46	0.0	4.075	0.0	30.897	0.0	2.822	0.052	31.371
19:24:01	0.0	4.075	0.0	30.905	0.0	2.822	0.052	31.375
19:24:17	0.0	4.075	0.0	30.912	0.0	2.822	0.052	31.396
19:24:32	0.0	4.075	0.0	30.944	0.0	2.822	0.052	31.456
19:24:48	0.0	4.075	0.0	30.934	0.0	2.822	0.052	31.476
19:25:04	0.0	4.075	0.0	30.947	0.0	2.822	0.052	31.492
19:25:19	0.0	4.075	0.0	30.999	0.0	2.822	0.052	31.518
19:25:35	0.0	4.075	0.0	31.021	0.0	2.822	0.052	31.54
19:25:50	0.0	4.075	0.0	31.03	0.0	2.822	0.052	31.572
19:26:06	0.0	4.075	0.0	31.058	0.0	2.822	0.052	31.592
19:26:21	0.0	4.075	0.0	31.101	0.0	2.822	0.052	31.599
19:26:37	0.0	4.075	0.0	31.135	0.0	2.822	0.052	31.623
19:26:53	0.0	4.075	0.0	31.144	0.0	2.822	0.052	31.641
19:27:09	0.0	4.075	0.0	31.195	0.0	2.822	0.052	31.689
19:27:24	0.0	4.075	0.0	31.171	0.0	2.822	0.052	31.715
19:27:39	0.0	4.075	0.0	31.174	0.0	2.822	0.052	31.737
19:27:55	0.0	4.075	0.0	31.204	0.0	2.822	0.052	31.752
19:28:10	0.0	4.075	0.0	31.209	0.0	2.822	0.052	31.779
19:28:26	0.0	4.075	0.0	31.218	0.0	2.822	0.052	31.781
19:28:41	0.0	4.075	0.0	31.241	0.0	2.822	0.052	31.826
19:28:57	0.0	4.075	0.0	31.233	0.0	2.822	0.052	31.867
19:29:13	0.0	4.075	0.0	31.3	0.0	2.822	0.052	31.873
19:29:28	0.0	4.075	0.0	31.313	0.0	2.822	0.052	31.904
19:29:44	0.0	4.075	0.0	31.325	0.0	2.822	0.052	31.938
19:29:59	0.0	4.075	0.0	31.353	0.0	2.822	0.052	31.993
19:30:15	0.0	4.075	0.0	31.37	0.0	2.822	0.052	31.973
19:30:31	0.0	4.075	0.0	31.403	0.0	2.822	0.052	32.003
19:30:46	0.0	4.075	0.0	31.436	0.0	2.822	0.052	32.03
19:31:02	0.0	4.075	0.0	31.423	0.0	2.822	0.052	32.063
19:31:17	0.0	4.075	0.0	31.474	0.0	2.822	0.052	32.079
19:31:33	0.0	4.075	0.0	31.472	0.0	2.822	0.052	32.091
19:31:49	0.0	4.075	0.0	31.485	0.0	2.822	0.052	32.11
19:32:04	0.0	4.075	0.0	31.5	0.0	2.822	0.052	32.122
19:32:20	0.0	4.075	0.0	31.502	0.0	2.822	0.052	32.154
19:32:36	0.0	4.075	0.0	31.51	0.0	2.822	0.052	32.18
19:32:51	0.0	4.075	0.0	31.527	0.0	2.822	0.052	32.204
19:33:07	0.0	4.075	0.0	31.51	0.0	2.822	0.052	32.205
19:33:23	0.0	4.075	0.0	31.551	0.0	2.822	0.052	32.225
19:33:38	0.0	4.075	0.0	31.57	0.0	2.822	0.052	32.254
19:33:54	0.0	4.075	0.0	31.598	0.0	2.822	0.052	32.256
19:34:09	0.0	4.075	0.0	31.591	0.0	2.822	0.052	32.277
19:34:25	0.0	4.075	0.0	31.612	0.0	2.822	0.052	32.306
19:34:41	0.0	4.075	0.0	31.656	0.0	2.822	0.052	32.32
19:34:56	0.0	4.075	0.0	31.667	0.0	2.822	0.052	32.339
19:35:12	0.0	4.075	0.0	31.684	0.0	2.822	0.052	32.331
19:35:28	0.0	4.075	0.0	31.7	0.0	2.822	0.052	32.361
19:35:43	0.0	4.075	0.0	31.703	0.0	2.822	0.052	32.378
19:35:59	0.0	4.075	0.0	31.728	0.0	2.822	0.052	32.398
19:36:15	0.0	4.075	0.0	31.754	0.0	2.822	0.052	32.415
19:36:30	0.0	4.075	0.0	31.759	0.0	2.822	0.052	32.445
19:36:46	0.0	4.075	0.0	31.777	0.0	2.822	0.052	32.445
19:37:02	0.0	4.075	0.0	31.768	0.0	2.822	0.052	32.44
19:37:17	0.0	4.075	0.0	31.785	0.0	2.822	0.052	32.484
19:37:32	0.0	4.075	0.0	31.799	0.0	2.822	0.052	32.474
19:37:48	0.0	4.075	0.0	31.802	0.0	2.822	0.052	32.503
19:38:03	0.0	4.075	0.0	31.798	0.0	2.822	0.052	32.501
19:38:19	0.0	4.075	0.0	31.827	0.0	2.822	0.052	32.526
19:38:34	0.0	4.075	0.0	31.84	0.0	2.822	0.052	32.565
19:38:50	0.0	4.075	0.0	31.868	0.0	2.822	0.052	32.556
19:39:05	0.0	4.075	0.0	31.881	0.0	2.822	0.052	32.574
19:39:21	0.0	4.075	0.0	31.873	0.0	2.822	0.052	32.604
19:39:36	0.0	4.075	0.0	31.886	0.0	2.822	0.052	32.63
19:39:52	0.0	4.075	0.0	31.894	0.0	2.822	0.052	32.653
19:40:08	0.0	4.075	0.0	31.943	0.0	2.822	0.052	32.64
19:40:23	0.0	4.075	0.0	31.969	0.0	2.822	0.052	32.661
19:40:38	0.0	4.075	0.0	31.95	0.0	2.822	0.052	32.692
19:40:54	0.0	4.075	0.0	31.971	0.0	2.822	0.052	32.705
19:41:10	0.0	4.075	0.0	31.994	0.0	2.822	0.052	32.695
19:41:25	0.0	4.075	0.0	32.021	0.0	2.822	0.052	32.724
19:41:41	0.0	4.075	0.0	32.026	0.0	2.822	0.052	32.739
19:41:56	0.0	4.075	0.0	32.058	0.0	2.822	0.052	32.748
19:42:12	0.0	4.075	0.0	32.07	0.0	2.822	0.052	32.766
19:42:28	0.0	4.075	0.0	32.092	0.0	2.822	0.052	32.756
19:42:43	0.0	4.075	0.0	32.083	0.0	2.822	0.052	32.772
19:42:59	0.0	4.075	0.0	32.063	0.0	2.822	0.052	32.806
19:43:15	0.0	4.075	0.0	32.085	0.0	2.822	0.052	32.81
19:43:30	0.0	4.075	0.0	32.088	0.0	2.822	0.052	32.843
19:43:46	0.0	4.075	0.0	32.107	0.0	2.822	0.052	32.861
19:44:02	0.0	4.075	0.0	32.122	0.0	2.822	0.052	32.882
19:44:17	0.0	4.075	0.0	32.118	0.0	2.822	0.052	32.892
19:44:33	0.0	4.075	0.0	32.127	0.0	2.822	0.052	32.881
19:44:48	0.0	4.075	0.0	32.166	0.0	2.822	0.052	32.886
19:45:04	0.0	4.075	0.0	32.155	0.0	2.822	0.052	32.93
19:45:20	0.0	4.075	0.0	32.176	0.0	2.822	0.052	32.92
19:45:35	0.0	4.075	0.0	32.188	0.0	2.822	0.052	32.959
19:45:51	0.0	4.075	0.0	32.215	0.0	2.822	0.052	32.96
19:46:07	0.0	4.075	0.0	32.22	0.0	2.822	0.052	32.978
19:46:23	0.0	4.075	0.0	32.22	0.0	2.822	0.052	32.996
19:46:38	0.0	4.075	0.0	32.259	0.0	2.822	0.052	33.01
19:46:54	0.0	4.075	0.0	32.253	0.0	2.822	0.052	33.006
19:47:09	0.0	4.075	0.0	32.278	0.0	2.822	0.052	33.031
19:47:25	0.0	4.075	0.0	32.334	0.0	2.822	0.052	33.027
19:47:40	0.0	4.075	0.0	32.339	0.0	2.822	0.052	33.055
19:47:56	0.0	4.075	0.0	32.364	0.0	2.822	0.052	33.056
19:48:11	0.0	4.075	0.0	32.351	0.0	2.822	0.052	33.055
19:48:26	0.0	4.075	0.0	32.368	0.0	2.822	0.052	33.094
19:48:42	0.0	4.075	0.0	32.369	0.0	2.822	0.052	33.109
19:48:58	0.0	4.075	0.0	32.395	0.0	2.822	0.052	33.09
19:49:13	0.0	4.075	0.0	32.391	0.0	2.822	0.052	33.144
19:49:29	0.0	4.075	0.0	32.402	0.0	2.822	0.052	33.132
19:49:45	0.0	4.075	0.0	32.405	0.0	2.822	0.052	33.139
19:50:00	0.0	4.075	0.0	32.401	0.0	2.822	0.052	33.185
19:50:16	0.0	4.075	0.0	32.394	0.0	2.822	0.052	33.191
19:50:32	0.0	4.075	0.0	32.43	0.0	2.822	0.052	33.19
19:50:47	0.0	4.075	0.0	32.433	0.0	2.822	0.052	33.195
19:51:03	0.0	4.075	0.0	32.441	0.0	2.822	0.052	33.231
19:51:19	0.0	4.075	0.0	32.451	0.0	2.822	0.052	33.227
19:51:35	0.0	4.075	0.0	32.48	0.0	2.822	0.052	33.254
19:51:50	0.0	4.075	0.0	32.483	0.0	2.822	0.052	33.264
19:52:05	0.0	4.075	0.0	32.499	0.0	2.822	0.052	33.27
19:52:21	0.0	4.075	0.0	32.511	0.0	2.822	0.052	33.276
19:52:36	0.0	4.075	0.0	32.536	0.0	2.822	0.052	33.308
19:52:52	0.0	4.075	0.0	32.56	0.0	2.822	0.052	33.33
19:53:08	0.0	4.075	0.0	32.551	0.0	2.822	0.052	33.328
19:53:23	0.0	4.075	0.0	32.585	0.0	2.822	0.052	33.332
19:53:39	0.0	4.075	0.0	32.575	0.0	2.822	0.052	33.365
19:53:54	0.0	4.075	0.0	32.608	0.0	2.822	0.052	33.349
19:54:10	0.0	4.075	0.0	32.644	0.0	2.822	0.052	33.362
19:54:25	0.0	4.075	0.0	32.613	0.0	2.822	0.052	33.374
19:54:41	0.0	4.075	0.0	32.629	0.0	2.822	0.052	33.402
19:54:57	0.0	4.075	0.0	32.665	0.0	2.822	0.052	33.395
19:55:12	0.0	4.075	0.0	32.66	0.0	2.822	0.052	33.392
19:55:28	0.0	4.075	0.0	32.678	0.0	2.822	0.052	33.413
19:55:44	0.0	4.075	0.0	32.675	0.0	2.822	0.052	33.426
19:55:59	0.0	4.075	0.0	32.667	0.0	2.822	0.052	33.469
19:56:15	0.0	4.075	0.0	32.673	0.0	2.822	0.052	33.45
19:56:30	0.0	4.075	0.0	32.7	0.0	2.822	0.052	33.475
19:56:46	0.0	4.075	0.0	32.693	0.0	2.822	0.052	33.495
19:57:02	0.0	4.075	0.0	32.706	0.0	2.822	0.052	33.501
19:57:17	0.0	4.075	0.0	32.699	0.0	2.822	0.052	33.527
19:57:33	0.0	4.075	0.0	32.698	0.0	2.822	0.052	33.543
19:57:48	0.0	4.075	0.0	32.725	0.0	2.822	0.052	33.522
19:58:04	0.0	4.075	0.0	32.733	0.0	2.822	0.052	33.554
19:58:20	0.0	4.075	0.0	32.738	0.0	2.822	0.052	33.515
19:58:35	0.0	4.075	0.0	32.756	0.0	2.822	0.052	33.566
19:58:51	0.0	4.075	0.0	32.774	0.0	2.822	0.052	33.573
19:59:06	0.0	4.075	0.0	32.766	0.0	2.822	0.052	33.565
19:59:22	0.0	4.075	0.0	32.78	0.0	2.822	0.052	33.571
19:59:37	0.0	4.075	0.0	32.783	0.0	2.822	0.052	33.589
19:59:53	0.0	4.075	0.0	32.804	0.0	2.822	0.052	33.588
20:00:08	0.0	4.075	0.0	32.83	0.0	2.822	0.052	33.603
20:00:24	0.0	4.075	0.0	32.813	0.0	2.822	0.052	33.617
20:00:39	0.0	4.075	0.0	32.84	0.0	2.822	0.052	33.623
20:00:55	0.0	4.075	0.0	32.849	0.0	2.822	0.052	33.625
20:01:11	0.0	4.075	0.0	32.865	0.0	2.822	0.052	33.649
20:01:26	0.0	4.075	0.0	32.865	0.0	2.822	0.052	33.651
20:01:42	0.0	4.075	0.0	32.871	0.0	2.822	0.052	33.662
20:01:57	0.0	4.075	0.0	32.871	0.0	2.822	0.052	33.665
20:02:13	0.0	4.075	0.0	32.881	0.0	2.822	0.052	33.689
20:02:29	0.0	4.075	0.0	32.883	0.0	2.822	0.052	33.681
20:02:45	0.0	4.075	0.0	32.913	0.0	2.822	0.052	33.697
20:03:00	0.0	4.075	0.0	32.924	0.0	2.822	0.052	33.69
20:03:15	0.0	4.075	0.0	32.906	0.0	2.822	0.052	33.702
20:03:31	0.0	4.075	0.0	32.93	0.0	2.822	0.052	33.717
20:03:46	0.0	4.075	0.0	32.942	0.0	2.822	0.052	33.713
20:04:02	0.0	4.075	0.0	32.945	0.0	2.822	0.052	33.753
20:04:17	0.0	4.075	0.0	32.958	0.0	2.822	0.052	33.762
20:04:33	0.0	4.075	0.0	32.936	0.0	2.822	0.052	33.76
