Time	value_on_device_(l/h)_CO2       	value_in_program_(l/h)_CO2       	Gas_consumption_(l/h)_CO2       	Temperature_(C)_CO2       	value_on_device_(l/h)_Ar        	value_in_program_(l/h)_Ar        	Gas_consumption_(l/h)_Ar        	Temperature_(C)_Ar        _C
14:23:02	0.0	0.492	0.0	12.434	0.0	7.737	0.0	14.213
14:23:17	0.0	0.0	0.0	12.52	0.0	0.0	0.0	14.284
14:23:32	0.0	0.0	0.0	12.583	0.0	0.0	0.0	14.387
14:23:47	0.0	0.0	0.0	12.666	0.0	0.0	0.0	14.438
14:24:02	0.0	0.0	0.0	12.79	0.0	0.0	0.0	14.507
14:24:18	0.0	0.0	0.0	12.856	0.0	0.0	0.0	14.573
14:24:33	0.0	0.0	0.0	12.905	0.0	0.0	0.0	14.622
14:47:04	0.0	0.0	0.0	17.277	0.0	0.0	0.0	18.947
14:47:19	0.0	0.0	0.0	17.341	0.0	0.0	0.0	18.947
14:47:34	0.0	0.0	0.0	17.315	0.0	0.0	0.0	18.947
14:47:49	0.0	0.0	0.0	17.347	0.0	0.0	0.0	18.947
15:31:32	0.0	0.0	0.0	21.18	0.0	0.0	0.0	22.751
15:31:48	0.0	0.0	0.0	21.228	0.0	0.0	0.0	22.782
15:48:38	0.0	0.0	0.0	22.045	0.0	0.0	0.0	23.564
15:53:51	0.0	0.0	0.0	22.286	0.0	0.0	0.0	23.805
15:54:06	0.0	0.0	0.0	22.313	0.0	0.0	0.0	23.813
16:08:50	0.0	0.0	0.0	22.808	0.0	0.0	0.0	24.34
16:09:06	0.0	0.0	0.0	22.848	0.0	0.0	0.0	24.336
16:09:22	0.0	0.0	0.0	22.832	0.0	0.0	0.0	24.369
16:09:38	0.0	0.0	0.0	22.84	0.0	0.0	0.0	24.386
16:09:54	0.0	0.0	0.0	22.857	0.0	0.0	0.0	24.381
16:10:10	0.0	0.0	0.0	22.871	0.0	0.0	0.0	24.388
16:10:25	0.0	0.0	0.0	22.888	0.0	0.0	0.0	24.388
16:10:41	0.0	0.0	0.0	22.897	0.0	0.0	0.0	24.399
16:10:57	0.0	0.0	0.0	22.89	0.0	0.0	0.0	24.42
16:11:12	0.0	0.0	0.0	22.898	0.0	0.0	0.0	24.424
16:11:28	0.0	0.0	0.0	22.888	0.0	0.0	0.0	24.425
16:11:44	0.0	0.0	0.0	22.9	0.0	0.0	0.0	24.416
16:11:59	0.0	0.0	0.0	22.894	0.0	0.0	0.0	24.425
16:12:15	0.0	0.0	0.0	22.938	0.0	0.0	0.0	24.448
16:12:31	0.0	0.0	0.0	22.938	0.0	0.0	0.0	24.466
16:20:05	0.0	0.0	0.0	23.122	0.0	0.0	0.0	24.649
16:20:21	0.0	0.0	0.0	23.099	0.0	0.0	0.0	24.626
16:29:28	0.0	0.0	0.0	23.312	0.0	0.0	0.0	24.814
16:29:44	0.0	0.0	0.0	23.275	0.0	0.0	0.0	24.791
17:07:38	0.0	0.0	0.0	23.582	0.0	0.0	0.0	25.198
17:09:26	0.0	0.0	0.0	23.669	0.0	0.0	0.0	25.204
17:11:02	0.0	0.0	0.0	23.675	0.0	0.0	0.0	25.229
17:14:38	0.0	0.0	0.0	23.776	0.0	0.0	0.0	25.287
17:15:39	0.0	0.0	0.0	23.791	0.0	0.0	0.0	25.295
17:16:37	0.0	0.0	0.0	23.802	0.0	0.0	0.0	25.32
17:20:08	0.0	0.0	0.0	23.831	0.0	0.0	0.0	25.345
17:20:24	0.0	0.0	0.0	23.823	0.0	0.0	0.0	25.376
17:20:39	0.0	0.0	0.0	23.845	0.0	0.0	0.0	25.374
17:20:54	0.0	0.0	0.0	23.826	0.0	0.0	0.0	25.354
17:21:10	0.0	0.0	0.0	23.859	0.0	0.0	0.0	25.359
17:21:25	0.0	0.0	0.0	23.828	0.0	0.0	0.0	25.403
17:21:40	0.0	0.0	0.0	23.846	0.0	0.0	0.0	25.367
17:21:56	0.0	0.0	0.0	23.871	0.0	0.0	0.0	25.382
17:22:11	0.0	0.0	0.0	23.852	0.0	0.0	0.0	25.411
17:22:27	0.0	0.0	0.0	23.854	0.0	0.0	0.0	25.368
17:22:55	0.0	0.0	0.0	23.878	0.0	0.0	0.0	25.393
17:23:10	0.0	0.0	0.0	23.855	0.0	0.0	0.0	25.395
17:23:25	0.0	0.0	0.0	23.876	0.0	0.0	0.0	25.394
17:23:50	0.0	0.0	0.0	23.877	0.0	0.0	0.0	25.388
17:24:05	0.0	0.0	0.0	23.91	0.0	0.0	0.0	25.412
17:24:20	0.0	0.0	0.0	23.912	0.0	0.0	0.0	25.396
17:36:47	0.0	0.0	0.0	24.093	0.0	0.0	0.0	25.559
17:38:43	0.0	0.0	0.0	24.095	0.0	0.0	0.0	25.585
17:39:14	0.0	0.0	0.0	24.101	0.0	0.0	0.0	25.59
17:39:30	0.0	0.0	0.0	24.084	0.0	0.0	0.0	25.591
17:39:46	0.0	0.0	0.0	24.103	0.0	0.0	0.0	25.595
17:40:02	0.0	0.0	0.0	24.104	0.0	0.0	0.0	25.598
17:40:18	0.0	0.0	0.0	24.1	0.0	0.0	0.0	25.591
