Time	value_on_device_(l/h)_Ar        	value_in_program_(l/h)_Ar        	Gas_consumption_(l/h)_Ar        	Temperature_(C)_Ar        	value_on_device_(l/h)_CO2       	value_in_program_(l/h)_CO2       	Gas_consumption_(l/h)_CO2       	Temperature_(C)_CO2       _C
12:42:35	0.0	94.0	0.0	24.782	0.0	6.0	0.0	23.935
12:42:52	0.0	0.0	0.0	24.766	0.0	1.2	0.0	23.926
14:17:34	0.0	75.2	0.0	24.201	0.0	15.29	0.0	23.194
15:16:32	0.0	0.0	0.0	24.597	0.0	0.0	0.0	23.584
15:16:48	0.0	38.729	0.0	24.614	0.0	1.326	0.0	23.6
15:21:12	0.0	48.88	0.0	24.745	0.0	2.88	0.0	23.742
15:21:28	0.0	18.8	0.0	24.756	0.0	1.2	0.0	23.75
15:21:43	0.0	18.8	0.0	24.782	0.0	1.2	0.0	23.783
15:21:59	0.0	18.949	0.0	24.795	0.0	5.74	0.0	23.805
15:22:14	0.0	94.0	0.0	24.834	1.393	6.0	0.004	23.836
15:22:29	2.715	94.0	0.008	24.863	0.0	6.0	0.007	23.854
15:22:45	61.994	94.0	0.228	24.788	0.0	6.0	0.007	23.895
15:23:03	1.99	94.0	0.234	23.644	0.0	6.0	0.007	23.939
15:28:04	0.0	0.0	0.0	25.229	0.0	0.0	0.0	24.114
15:28:21	0.0	0.0	0.0	25.251	0.0	0.0	0.0	24.105
15:28:38	0.0	0.0	0.0	25.248	0.0	0.0	0.0	24.111
15:28:54	0.0	0.0	0.0	25.268	0.0	0.0	0.0	24.116
15:29:10	0.0	0.0	0.0	25.25	0.0	0.0	0.0	24.134
15:29:26	0.0	0.0	0.0	25.292	0.0	0.0	0.0	24.129
15:31:59	0.0	0.0	0.0	25.356	0.0	0.0	0.0	24.147
15:36:59	0.0	0.0	0.0	25.406	0.0	0.0	0.0	20.069
15:37:16	0.0	28.389	0.0	25.422	0.0	0.812	0.0	21.874
15:41:35	0.0	89.924	0.0	25.493	0.0	0.06	0.0	23.207
15:41:52	0.0	15.981	0.0	25.517	0.0	1.0	0.0	23.386
15:42:07	0.0	15.981	0.0	25.529	0.0	1.0	0.0	23.411
15:42:23	0.0	15.981	0.0	25.573	0.0	1.0	0.0	23.455
15:45:51	0.0	7.145	0.0	25.959	0.0	0.636	0.0	24.635
15:52:36	0.0	17.686	0.0	27.152	0.0	0.9	0.0	26.779
15:52:51	0.0	94.0	0.0	27.2	0.0	0.06	0.0	26.933
15:53:53	0.0	14.209	0.0	27.418	0.0	0.907	0.0	27.246
15:54:09	0.0	2.842	0.0	27.445	0.0	0.544	0.0	27.365
15:54:29	0.0	2.842	0.0	27.445	0.0	0.544	0.0	27.365
15:54:48	0.0	0.0	0.0	20.327	0.0	0.181	0.0	26.929
15:55:06	0.0	6.0	0.0	20.371	0.0	94.0	0.0	27.55
15:55:29	0.0	0.0	0.0	20.445	0.0	0.0	0.0	27.573
15:55:48	2.212	6.0	0.006	23.546	0.0	94.0	0.0	19.386
15:56:08	0.0	18.8	0.0	27.645	0.0	1.2	0.0	20.592
15:56:23	0.0	0.941	0.0	27.655	0.0	0.059	0.0	20.622
