Time	Gas
12:42:32	Ar        
12:42:32	CO2       
12:42:33	Ar        
12:42:33	CO2       
12:42:33	Ar        
12:42:33	CO2       
12:42:34	Ar        
12:42:34	CO2       
12:42:34	Ar        
12:42:34	CO2       
12:42:34	Ar        
12:42:34	CO2       
12:42:34	Ar        
12:42:34	CO2       
12:42:35	Ar        
12:42:35	CO2       
12:42:35	Ar        
12:42:35	CO2       
12:42:36	Ar        
12:42:36	CO2       
12:42:37	Ar        
12:42:37	Ar        
12:42:38	CO2       
12:42:38	Ar        
12:42:38	CO2       
12:42:40	Ar        
12:42:40	Ar        
12:42:40	CO2       
12:42:40	Ar        
12:42:40	CO2       
12:42:42	Ar        
12:42:43	Ar        
12:42:43	CO2       
12:42:43	Ar        
12:42:43	CO2       
12:42:55	Ar        
12:42:56	CO2       
12:42:56	Ar        
12:42:56	CO2       
12:42:56	Ar        
12:42:56	CO2       
12:42:56	Ar        
12:42:56	CO2       
14:17:26	CO2       
14:17:26	Ar        
14:17:28	CO2       
14:17:29	CO2       
14:17:29	Ar        
14:17:29	CO2       
14:17:29	Ar        
14:17:30	CO2       
14:17:30	Ar        
14:17:31	Ar        
14:17:32	CO2       
14:17:34	CO2       
14:17:35	CO2       
14:17:35	CO2       
14:17:35	CO2       
14:17:35	CO2       
14:17:36	Ar        
14:17:36	CO2       
14:17:36	Ar        
14:17:36	Ar        
14:17:37	Ar        
14:17:37	CO2       
14:17:37	Ar        
14:17:37	Ar        
14:17:37	CO2       
14:17:37	Ar        
14:17:38	Ar        
15:16:37	CO2       
15:16:38	Ar        
15:16:38	CO2       
15:16:38	CO2       
15:16:38	Ar        
15:16:38	Ar        
15:16:40	Ar        
15:16:40	Ar        
15:16:40	CO2       
15:16:40	CO2       
15:16:42	Ar        
15:16:42	Ar        
15:16:43	CO2       
15:16:43	Ar        
15:16:43	CO2       
15:16:45	Ar        
15:16:45	Ar        
15:16:45	CO2       
15:16:45	Ar        
15:16:45	CO2       
15:16:47	Ar        
15:16:48	Ar        
15:16:48	CO2       
15:16:48	Ar        
15:16:48	CO2       
15:16:50	Ar        
15:16:50	Ar        
15:16:50	CO2       
15:16:51	CO2       
15:16:53	Ar        
15:16:53	CO2       
15:16:53	Ar        
15:18:22	Ar        
15:18:22	Ar        
15:18:22	CO2       
15:18:22	Ar        
15:18:22	CO2       
15:18:23	Ar        
15:18:24	Ar        
15:18:25	CO2       
15:18:25	Ar        
15:18:25	CO2       
15:18:27	Ar        
15:18:27	Ar        
15:18:27	CO2       
15:18:27	Ar        
15:18:28	CO2       
15:18:30	Ar        
15:18:30	Ar        
15:18:30	CO2       
15:18:30	CO2       
15:18:32	Ar        
15:18:32	Ar        
15:19:24	CO2       
15:19:24	Ar        
15:19:25	CO2       
15:19:25	Ar        
15:19:25	CO2       
15:19:25	Ar        
15:19:26	Ar        
15:19:26	CO2       
15:19:27	Ar        
15:19:27	Ar        
15:19:27	CO2       
15:19:27	Ar        
15:19:27	CO2       
15:21:06	Ar        
15:21:07	Ar        
15:21:07	CO2       
15:21:07	CO2       
15:21:09	Ar        
15:21:09	Ar        
15:21:09	CO2       
15:21:09	CO2       
15:21:12	Ar        
15:21:12	CO2       
15:21:12	Ar        
15:21:12	CO2       
15:21:14	Ar        
15:21:14	Ar        
15:21:14	CO2       
15:21:15	Ar        
15:21:15	CO2       
15:21:17	Ar        
15:21:17	Ar        
15:21:17	CO2       
15:21:17	Ar        
15:21:17	CO2       
15:21:19	Ar        
15:21:20	Ar        
15:21:20	CO2       
15:21:20	Ar        
15:21:20	CO2       
15:21:22	Ar        
15:21:22	Ar        
