Time	value_on_device_(l/h)_CO2       	value_in_program_(l/h)_CO2       	Gas_consumption_(l/h)_CO2       	Temperature_(C)_CO2       	value_on_device_(l/h)_Ar        	value_in_program_(l/h)_Ar        	Gas_consumption_(l/h)_Ar        	Temperature_(C)_Ar        _C
16:47:53	0.0	0.0	0.0	25.069	0.0	0.0	0.0	26.062
16:51:35	0.0	0.0	0.0	25.501	0.0	0.0	0.0	26.336
16:51:50	0.0	0.0	0.0	25.493	0.0	0.0	0.0	26.349
16:52:06	0.0	0.0	0.0	25.552	0.0	0.0	0.0	26.379
16:52:21	0.0	0.0	0.0	25.549	0.0	0.0	0.0	26.373
16:52:41	0.0	0.0	511.0	25.554	0.0	0.0	105.6	26.403
17:29:43	0.0	0.0	511.0	24.614	0.0	0.0	105.6	25.076
17:30:20	0.0	0.0	511.0	24.585	0.0	0.0	105.6	25.076
17:36:29	0.0	0.0	511.0	24.417	0.0	0.0	105.6	24.865
17:54:10	0.0	0.0	511.0	24.069	0.0	0.0	105.6	24.554
17:54:26	0.0	0.0	511.0	24.062	0.0	0.004	105.6	24.544
18:05:12	0.0	0.0	511.0	24.851	0.0	0.0	105.6	25.085
