Time	value_on_device_(l/h)_CO2       	value_in_program_(l/h)_CO2       	Gas_consumption_(l/h)_CO2       	Temperature_(C)_CO2       	value_on_device_(l/h)_Ar        	value_in_program_(l/h)_Ar        	Gas_consumption_(l/h)_Ar        	Temperature_(C)_Ar        _C
13:14:37	0.0	4.376	0.0	26.76	0.0	39.436	0.0	28.106
13:14:52	0.0	5.04	0.0	26.75	0.0	82.72	0.0	28.097
13:15:07	0.0	0.0	0.0	26.704	0.0	30.08	0.0	28.081
13:15:24	0.0	5.071	0.0	26.653	0.0	65.756	0.0	28.069
13:15:39	0.0	0.0	0.0	26.63	0.0	0.0	0.0	28.028
13:15:55	0.0	0.0	0.0	26.594	0.0	0.0	0.0	28.035
13:16:31	0.0	0.0	0.0	27.962	0.0	0.0	0.0	21.655
13:16:47	0.0	18.8	0.0	27.969	0.0	1.0	0.0	21.885
13:17:02	0.0	6.58	0.0	27.954	0.0	0.36	0.0	21.898
13:17:17	0.0	9.4	0.0	27.931	0.0	0.6	0.0	22.008
13:17:32	0.0	9.4	0.0	27.897	0.0	0.6	0.0	22.154
13:17:47	0.0	9.4	0.0	27.899	0.0	0.6	0.0	22.187
13:18:02	0.0	9.4	0.0	27.878	0.0	0.6	0.0	22.204
13:18:17	0.0	9.4	0.0	27.827	0.0	0.6	0.0	22.287
13:18:32	0.0	9.4	0.0	27.843	0.0	0.6	0.0	22.445
13:18:47	0.0	9.4	0.0	27.808	0.0	0.6	0.0	22.495
13:19:02	0.0	9.4	0.0	27.8	0.0	0.6	0.0	22.513
13:19:18	0.0	9.4	0.0	27.812	0.0	0.6	0.0	22.643
13:19:33	0.0	9.4	0.0	27.775	0.0	0.6	0.0	22.791
13:19:48	0.0	9.4	0.0	27.79	0.0	0.6	0.0	22.804
13:20:03	0.0	9.4	0.0	27.787	0.0	0.6	0.0	22.871
13:20:18	0.0	9.4	0.0	27.784	0.0	0.6	0.0	23.063
13:20:33	0.0	9.4	0.0	27.783	0.0	0.6	0.0	23.108
13:20:48	0.0	9.4	0.0	27.754	0.0	0.6	0.0	23.126
13:21:03	0.0	9.4	0.0	27.762	0.0	0.6	0.0	23.275
13:21:18	0.0	9.4	0.0	27.775	0.0	0.6	0.0	23.402
13:21:33	0.0	9.4	0.0	27.771	0.0	0.6	0.0	23.417
13:21:48	0.0	9.4	0.0	27.79	0.0	0.6	0.0	23.471
13:22:03	0.0	9.4	0.0	27.783	0.0	0.6	0.0	23.676
13:22:19	0.0	9.4	0.0	27.772	0.0	0.6	0.0	23.72
13:22:34	0.0	9.4	0.0	27.771	0.0	0.6	0.0	23.746
13:22:49	0.0	9.4	0.0	27.778	0.0	0.6	0.0	23.912
13:23:04	0.0	9.4	0.0	27.783	0.0	0.6	0.0	24.016
13:23:19	0.0	9.4	0.0	27.79	0.0	0.6	0.0	24.027
13:23:34	0.0	9.4	0.0	27.799	0.0	0.6	0.0	24.108
13:23:49	0.0	9.4	0.0	27.833	0.0	0.6	0.0	24.282
13:24:04	0.0	9.4	0.0	27.85	0.0	0.6	0.0	24.33
13:24:19	0.0	9.4	0.0	27.851	0.0	0.6	0.0	24.356
13:24:34	0.0	9.4	0.0	27.895	0.0	0.6	0.0	24.541
13:24:50	0.0	9.4	0.0	27.89	0.0	0.6	0.0	24.632
13:25:05	0.0	9.4	0.0	27.91	0.0	0.6	0.0	24.647
