Time	Gas
16:00:44	CO2       
16:00:44	CO2       
16:00:45	CO2       
16:00:45	Ar        
16:00:45	Ar        
16:00:45	Ar        
16:00:45	CO2       
16:00:45	Ar        
16:00:46	CO2       
16:00:46	CO2       
16:00:46	Ar        
16:00:46	CO2       
16:00:46	Ar        
16:00:46	Ar        
16:00:46	CO2       
16:00:47	Ar        
16:00:47	Ar        
16:00:47	Ar        
16:00:48	Ar        
16:00:48	CO2       
16:00:48	CO2       
16:00:48	Ar        
16:00:50	Ar        
16:00:50	Ar        
16:00:50	CO2       
16:00:50	CO2       
16:00:52	Ar        
16:00:53	Ar        
16:00:53	CO2       
16:00:53	CO2       
16:00:55	Ar        
16:00:55	Ar        
16:00:55	CO2       
16:00:55	CO2       
16:00:57	Ar        
16:00:58	CO2       
16:00:58	Ar        
16:00:58	CO2       
